Tanggal;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg
01/10/2020;24;30.6;25.9;84;6.7;4;2
02/10/2020;23;35.3;27.7;76;0.5;8;2
03/10/2020;22.8;34.2;26.9;78;8;8;2
04/10/2020;22.6;32.3;27.3;76;6.6;4;1
05/10/2020;23.6;35;28.4;75;4.1;8;2
06/10/2020;23.1;34.5;27.2;76;8;7;2
07/10/2020;22.7;31.8;26.4;82;7.2;4;1
08/10/2020;22.8;32.5;26.2;81;4.8;6;1
09/10/2020;24;31.5;26.9;78;2.5;3;0
10/10/2020;23.9;34;27.4;76;0.5;4;1
11/10/2020;22.9;33.2;26.8;80;6.5;8;2
12/10/2020;22.8;33.6;26.5;84;4.7;6;2
13/10/2020;23.3;33;27.5;74;3.2;5;1
14/10/2020;23.6;33.8;27.1;78;1.2;5;1
15/10/2020;23;33.3;27.3;76;1.3;9;2
16/10/2020;22.9;35.6;27.9;74;3.9;3;1
17/10/2020;23.6;35.4;29.4;69;6.8;3;1
18/10/2020;23.5;34.3;28.4;73;9;4;1
19/10/2020;24.2;33;27.4;82;5.4;4;1
20/10/2020;23.2;32.5;27.8;77;5.3;4;1
21/10/2020;24.7;31.5;27.5;86;4.4;4;1
22/10/2020;23.2;30.5;26.1;88;0;3;1
23/10/2020;23.4;31.7;26.7;85;0.1;3;1
24/10/2020;23.8;32;27.5;86;0.3;4;1
25/10/2020;22.6;34;26.4;80;0;6;2
26/10/2020;23.2;31.5;27;77;4.9;4;1
27/10/2020;23.4;35.4;27.7;72;0.2;3;1
28/10/2020;23.6;33.8;28.3;72;7.6;4;1
29/10/2020;23.6;33.5;27.8;78;5.1;5;1
30/10/2020;23.2;34;27.5;77;7;3;1
31/10/2020;23.5;32.4;27.1;84;7;4;1
01/11/2020;22.7;32.5;26;82;3;6;2
02/11/2020;22.8;33.5;27.6;76;4.3;7;3
03/11/2020;22.8;32.2;25.7;85;6;8;1
04/11/2020;22.6;30.1;26.2;88;3.6;3;0
05/11/2020;23.6;31.5;26.3;94;0.5;5;1
06/11/2020;23.2;33.8;27;83;2.9;5;2
07/11/2020;23.4;32.2;26.9;84;4.8;6;2
08/11/2020;22.6;31.8;25.3;89;2;4;1
09/11/2020;23;32.2;26.6;81;2.5;4;2
10/11/2020;23.2;32.5;26.6;83;4.6;5;1
11/11/2020;23.6;33.6;27.7;78;1.9;6;1
12/11/2020;23.6;32.8;28.5;76;8;4;2
13/11/2020;25.2;34.5;28.6;77;8.7;3;1
14/11/2020;25.5;34;28.2;81;8.2;4;1
15/11/2020;24.2;33.6;26.7;83;4.2;9;2
16/11/2020;23.6;32.5;26.4;90;4.8;5;1
17/11/2020;22.6;31.8;25.5;92;5.3;4;1
18/11/2020;23.3;32.2;27.2;86;2.6;3;1
19/11/2020;23.6;34.2;27.1;84;4.1;7;1
20/11/2020;23.8;33.3;27.7;83;;3;0
21/11/2020;23.9;31.5;25.9;90;3.7;5;1
22/11/2020;23.2;32.5;26.6;86;0.8;8;3
23/11/2020;23.6;32.5;26.1;88;;6;2
24/11/2020;23.8;31;26;86;2.1;6;2
25/11/2020;23;30.7;26;88;2.4;5;1
26/11/2020;23.5;28.5;26;91;0.7;3;0
27/11/2020;24.2;31;26.7;87;;6;1
28/11/2020;23;31.5;24.8;87;1.4;7;1
29/11/2020;22.4;33.5;26.9;78;1.6;4;1
30/11/2020;24;33;27.7;81;5.3;4;0
01/12/2020;23.8;34.3;27.8;78;4.8;6;1
02/12/2020;23;33.3;27.5;75;7.8;5;2
03/12/2020;23.8;34;28.1;75;8.5;6;2
04/12/2020;23.6;32.5;27.1;79;7.8;5;1
05/12/2020;23.8;32.5;27.2;82;4.1;4;2
06/12/2020;24.2;32.8;27.9;78;5.2;6;2
07/12/2020;24.8;32.6;27.7;76;4.2;7;2
08/12/2020;22.4;34.2;27;77;4.5;4;2
09/12/2020;22.8;32.8;26.5;79;7.1;4;2
10/12/2020;23;31.5;26.8;80;4.6;4;1
11/12/2020;23.8;32.8;27.9;72;1.7;5;2
12/12/2020;24.2;33.7;27.3;77;7;5;2
13/12/2020;23.8;32.7;27.2;78;6.6;5;2
14/12/2020;22.9;33.5;27;77;3.7;5;2
15/12/2020;23.2;29.8;25.8;85;6.4;8;2
16/12/2020;22.2;30.5;25.7;87;3.2;4;1
17/12/2020;22.8;33.4;27;82;0;5;3
18/12/2020;22.6;31;25.9;83;8.2;5;2
19/12/2020;22.9;30.5;26.4;81;2.7;5;2
20/12/2020;22.9;32.2;25.8;82;0.7;5;2
21/12/2020;23;31.2;26.5;81;4;4;1
22/12/2020;23.7;31.8;27.1;81;2;5;1
23/12/2020;22.8;33.4;27.5;75;4.9;5;2
24/12/2020;23;31.8;25.9;88;8.7;3;0
25/12/2020;23.4;34.7;27.7;76;0;3;1
26/12/2020;23.5;30.5;25.8;85;7.3;4;2
27/12/2020;23.2;32.2;26.7;79;2;3;1
28/12/2020;23;29.5;25.4;88;5.1;3;1
29/12/2020;23.4;30.2;25.9;86;0.3;3;0
30/12/2020;23.2;29.3;25.2;91;0.4;3;0
31/12/2020;22.3;29.5;25.2;85;0.2;3;1
01/01/2021;22.2;30.5;26.1;84;0;5;2
02/01/2021;;29.5;25.5;84;;5;2
03/01/2021;23.4;;26.4;81;0.8;7;3
04/01/2021;23.7;30.8;26.5;83;4.6;4;2
05/01/2021;23.5;32.4;27;79;0.8;5;2
06/01/2021;24.2;31.4;27.5;77;6.7;8;3
07/01/2021;;33;26.3;82;4.2;6;2
08/01/2021;23.8;32.1;26.8;82;0;6;3
09/01/2021;22.2;29.2;24.8;88;3.7;5;2
10/01/2021;22.2;;23.8;94;0.1;4;1
11/01/2021;22.5;29;25;90;0;6;1
12/01/2021;;27;23.5;96;0.5;4;1
13/01/2021;22.8;;24.7;88;0;4;1
14/01/2021;22.8;28.9;25.1;86;0.2;6;1
15/01/2021;22.9;31.7;26.5;79;2.3;5;1
16/01/2021;23;32;27;77;6.5;5;1
17/01/2021;23.4;31.7;27.4;80;4.3;7;2
18/01/2021;22;;24.8;82;3;4;1
19/01/2021;22;30.1;25.5;80;0.1;4;1
20/01/2021;;30.6;25.9;77;2.7;4;1
21/01/2021;22.6;33.5;27.5;72;4.2;5;1
22/01/2021;22.2;32.2;26.1;81;6.6;5;1
23/01/2021;22.7;;25.9;80;6;4;1
24/01/2021;23;32.4;26.9;78;2.4;3;1
25/01/2021;;30.6;26.4;80;7.1;4;0
26/01/2021;23.2;30;25.7;86;2.5;4;1
27/01/2021;23.6;32.4;26.8;78;1;5;1
28/01/2021;23.8;;24.3;95;4.1;4;1
29/01/2021;22.4;29.7;25.4;83;0;6;1
30/01/2021;;31.6;26.7;76;0.8;6;2
31/01/2021;22.2;31.7;25.8;81;7;4;1
01/02/2021;22.3;32.2;27.1;80;2.5;4;2
02/02/2021;24.3;;26.4;81;3.6;8;2
03/02/2021;24;31.8;26.7;78;5;4;1
04/02/2021;;30;25.9;80;1.8;6;1
05/02/2021;23.2;30.2;26.4;76;2.8;4;1
06/02/2021;23.3;33.4;27.6;74;3.3;4;1
07/02/2021;24;33;27.5;74;7.5;5;1
08/02/2021;23.8;33.5;27.1;80;7.9;8;2
09/02/2021;22;32.5;26.7;82;4.1;4;1
10/02/2021;;33.4;27.6;87;8.5;7;2
11/02/2021;24.2;32.6;27.8;82;5.6;13;2
12/02/2021;21.8;34.1;27.7;82;5.2;3;1
13/02/2021;22.8;31.3;26.6;79;5.7;5;1
14/02/2021;21.5;32.6;26.2;82;5;4;1
15/02/2021;22.7;32;26.7;79;4.1;4;1
16/02/2021;;33;26.8;73;4.5;4;2
17/02/2021;23.3;32.8;27.4;74;8.8;4;1
18/02/2021;23.3;30.2;26.1;71;5.5;4;1
19/02/2021;23;;26;79;2.8;6;2
20/02/2021;23.4;30.7;26.6;72;3;5;2
21/02/2021;;32.2;27.1;72;1.2;4;2
22/02/2021;23.2;32.5;27;74;6.8;3;1
23/02/2021;23.4;33.2;27.2;70;6.4;3;0
24/02/2021;23.3;32.5;26.7;77;5;8;1
25/02/2021;22.4;33.7;27.1;76;2.5;8;3
26/02/2021;;32.3;26.9;76;6.2;5;3
27/02/2021;22.8;35;28.4;69;3.3;3;2
28/02/2021;22.9;34;28.5;71;6.4;5;1
01/03/2021;24.2;34.5;28.4;70;5.5;5;2
02/03/2021;24;33.5;28.1;75;3.4;5;2
03/03/2021;;33.2;27.6;69;4.8;4;1
04/03/2021;23.4;33;28;72;7;3;1
05/03/2021;24;32;27.3;80;3.8;5;1
06/03/2021;23.8;32.7;26.1;86;4.3;6;2
07/03/2021;22.6;28.1;24.6;89;3;4;1
08/03/2021;;32.2;26.9;78;0;4;1
09/03/2021;23.2;31.2;27.2;75;7.6;4;1
10/03/2021;23.6;32.2;26.1;82;2.8;3;1
11/03/2021;22.4;32.6;25.5;86;5;8;1
12/03/2021;;31.5;23.7;94;4.9;9;2
13/03/2021;22.7;32;25.9;83;3.1;3;1
14/03/2021;22.8;33.5;25.9;82;6.2;5;1
15/03/2021;23.8;32;27.4;78;4.9;6;2
16/03/2021;23.6;32.8;27.2;81;6.5;6;2
17/03/2021;21.4;32.3;26.1;82;3.8;5;1
18/03/2021;;33.6;26.5;81;4.8;7;2
19/03/2021;22.6;33.2;27.2;76;4.7;4;1
20/03/2021;23;32;27.7;77;5.1;4;1
21/03/2021;24.4;32;27.5;80;2.4;3;1
22/03/2021;24.3;33.5;26.6;85;3.1;8;1
23/03/2021;23.4;31;24.9;94;2.8;6;1
24/03/2021;23.5;29.1;25.7;85;3.8;5;2
25/03/2021;23.6;30.4;26;88;0;4;1
26/03/2021;23.9;31.8;27;83;3.1;6;1
27/03/2021;22.2;25.2;23.4;93;4;3;0
28/03/2021;22;33.2;27.2;80;0;5;1
29/03/2021;22.4;32;26.2;84;4.9;5;1
30/03/2021;;35.5;28;76;3.2;4;1
31/03/2021;24.2;34.2;28.8;72;7.7;6;2
01/04/2021;24.4;32.8;27.6;68;8.3;5;2
02/04/2021;24.2;34.3;28.5;65;4.1;7;4
03/04/2021;23.8;33.2;27.7;72;7.3;5;2
04/04/2021;22.2;33.2;27.4;72;3.2;7;2
05/04/2021;;34.8;28.3;77;6.7;8;3
06/04/2021;23.3;33.6;27.8;76;6.2;5;1
07/04/2021;22.2;34.3;27;78;7.5;5;2
08/04/2021;22.4;33.8;27.4;78;5.4;6;2
09/04/2021;22.7;32.8;27;76;6.1;5;2
10/04/2021;23.1;34.2;27.2;79;7.2;5;1
11/04/2021;24.2;32.9;27.6;78;3.5;5;2
12/04/2021;23.2;31.8;26.8;80;5.3;4;1
13/04/2021;23.2;34.8;28;76;3.6;7;1
14/04/2021;22.8;33.2;26.4;82;4.8;3;0
15/04/2021;23;34.7;27.8;80;4.2;8;3
16/04/2021;23.5;32.6;26.9;83;9.1;9;2
17/04/2021;22.3;33.2;24.2;90;5.9;3;1
18/04/2021;22.8;33.6;27.8;76;0;5;2
19/04/2021;22.8;32.6;26.9;81;9.3;5;1
20/04/2021;22.4;33.2;27.2;79;3.7;4;1
21/04/2021;22.8;34;28;80;6.7;6;2
22/04/2021;22.8;30.6;26;87;6.8;4;0
23/04/2021;;33.5;27.5;79;2.1;3;1
24/04/2021;23;31;26.1;83;4.5;3;0
25/04/2021;23.3;34.5;28.1;78;1.8;4;1
26/04/2021;23;27.5;24;94;5;4;0
27/04/2021;22.9;31.9;26.4;83;0;5;1
28/04/2021;22.8;34;28;78;4.6;5;1
29/04/2021;23;32.5;26.2;86;6.5;5;2
30/04/2021;22.4;30.6;25.7;87;4.2;4;1
01/05/2021;23.2;33.1;27;84;1.5;5;1
02/05/2021;23.7;32.6;26.4;86;5.1;7;1
03/05/2021;22.9;33;26.5;84;3.8;4;1
04/05/2021;23.6;31.6;26.6;86;5.9;7;1
05/05/2021;24;32.3;25.6;88;2.7;7;1
06/05/2021;23.7;31.8;26;89;4.2;4;1
07/05/2021;23.2;33.4;27.6;85;2.3;3;0
08/05/2021;23.6;33;28.2;83;3.7;3;0
09/05/2021;24.9;34;28.6;78;4.8;4;1
10/05/2021;24.9;33.6;28.3;78;7;5;1
11/05/2021;25.2;29;25.9;92;5.2;6;1
12/05/2021;23.8;32.6;26.6;88;0;6;1
13/05/2021;24.1;33.4;27.7;82;2.4;8;1
14/05/2021;23.8;33.3;27.8;79;5.9;4;2
15/05/2021;23.8;32.4;26.9;84;5.5;4;1
16/05/2021;24;34.5;28.4;79;2.5;6;2
17/05/2021;24.9;33.3;27.4;84;5.8;5;1
18/05/2021;24.1;32.8;26.6;88;4.3;7;2
19/05/2021;23.9;31.5;26.7;89;2.7;6;1
20/05/2021;24.1;34.7;28;81;1.2;3;0
21/05/2021;24.7;33.3;26.8;84;5.3;8;2
22/05/2021;23;32;26.1;86;5;4;1
23/05/2021;23.8;34;28.5;77;1.3;3;1
24/05/2021;24.9;34.8;28.8;78;6.8;4;1
25/05/2021;23;33.9;27.5;80;7.5;4;1
26/05/2021;23.6;33.5;28.6;81;7.5;6;2
27/05/2021;24.5;33.4;27.3;84;5.1;4;1
28/05/2021;24.3;33.7;28.3;78;4.7;5;1
29/05/2021;24.2;34.3;28.1;76;6.5;5;1
30/05/2021;24.5;34.7;28.8;76;9.2;5;2
31/05/2021;24.4;34.6;28.7;72;9;4;1
01/06/2021;24.4;32.5;27.8;77;8.5;5;1
02/06/2021;24.3;31.8;27.5;83;2.4;5;2
03/06/2021;24;33.6;27.7;76;4.6;6;2
04/06/2021;24.3;31.2;26.6;90;4.6;9;2
05/06/2021;24.6;33.2;27.7;83;1.8;5;1
06/06/2021;23.8;35.1;28.9;70;2.3;4;1
07/06/2021;24.5;34.5;28.4;75;5.5;4;1
08/06/2021;24.8;34.6;28.5;73;6;4;1
09/06/2021;23.4;35;27.9;74;2.9;5;1
10/06/2021;24;33.2;27.4;78;2.8;5;1
11/06/2021;24.3;32.6;27.8;78;2.5;5;2
12/06/2021;24.6;34;27.5;78;2.1;7;3
13/06/2021;22.4;32.6;26.4;80;1;5;2
14/06/2021;22.9;34;28;78;4;6;2
15/06/2021;23.1;33.5;26.1;86;1.8;5;2
16/06/2021;22;33.5;26.4;79;5;4;1
17/06/2021;22.5;35;27.9;74;7.1;4;2
18/06/2021;21;30.2;25.1;80;9.2;4;1
19/06/2021;21.4;32.6;27.1;81;2.6;5;1
20/06/2021;22.8;34;27.2;74;2.4;5;1
21/06/2021;23;33.9;28.2;71;6.4;6;1
22/06/2021;23.5;34;26.1;83;6.9;11;2
23/06/2021;23.3;34.6;27.6;72;7.3;4;1
24/06/2021;23.6;32;27.4;79;8.8;4;1
25/06/2021;23.8;32.2;27.9;78;5.6;9;2
26/06/2021;22.8;31.5;26.3;80;4.7;3;1
27/06/2021;22.9;33;27.1;74;4.2;6;1
28/06/2021;23.2;34.8;27.8;75;7.4;7;2
29/06/2021;23;30.5;25;87;6.8;10;2
30/06/2021;23;32.8;26.7;78;3.6;3;1
01/07/2021;23.5;33;28.5;73;3.7;5;2
02/07/2021;24;33;27.6;75;7.4;5;1
03/07/2021;23.6;33.6;28.1;73;6.6;6;2
04/07/2021;23.6;32.4;26.8;80;9.2;4;1
05/07/2021;23.9;32;27.3;78;3.7;6;2
06/07/2021;24.3;32.2;27.4;76;7.4;5;1
07/07/2021;24.1;32.8;27.5;74;2.8;5;1
08/07/2021;23.8;34.5;28.2;73;6;5;1
09/07/2021;24.8;34.5;27.7;80;7.3;5;2
10/07/2021;22.3;30.4;25.7;84;2.3;5;2
11/07/2021;23.3;31.5;25.5;86;1.6;6;2
12/07/2021;23.3;32.1;27.3;78;2.1;8;2
13/07/2021;21;29.2;24.4;85;7.2;5;2
14/07/2021;21.7;29;25.2;82;0;6;2
15/07/2021;21;36;27.2;73;0;5;1
16/07/2021;21.6;33.1;27.3;78;8.5;6;2
17/07/2021;23.4;34.2;27.8;78;5.2;6;2
18/07/2021;23.8;34.2;28.1;71;8.8;6;2
19/07/2021;24;33.5;26.5;80;8.2;4;1
20/07/2021;23.4;33.9;27.2;77;3.8;4;1
21/07/2021;23.6;35.1;28;72;6.6;6;2
22/07/2021;23.7;34.5;28.2;74;9.4;5;2
23/07/2021;24.2;34;28.1;76;8.3;6;1
24/07/2021;24;33.6;27.8;76;5.3;7;2
25/07/2021;25.2;33.2;28.9;75;4.8;8;2
26/07/2021;25.9;33.3;28.7;72;7.1;5;2
27/07/2021;24.5;33.5;28.5;68;8.7;6;2
28/07/2021;23.6;34.8;27.8;67;9.6;6;2
29/07/2021;23.3;35.1;28.3;67;8.4;6;2
30/07/2021;23.8;34.6;28;71;8.6;8;2
31/07/2021;22.4;31.6;26.2;84;7.2;4;1
01/08/2021;22.5;32.5;26.8;78;0.6;4;0
02/08/2021;23.8;34.5;28.1;74;1.5;14;1
03/08/2021;22.6;34.7;26.9;79;7.1;5;2
04/08/2021;23.4;29.6;25.3;88;4;5;2
05/08/2021;24;35;28;74;0;3;1
06/08/2021;;34.4;28.1;77;8.7;6;2
07/08/2021;25.1;34;28.7;74;8.5;5;2
08/08/2021;22.6;30.9;25.8;84;5.2;4;1
09/08/2021;22.8;33.6;27.2;76;3.4;4;0
10/08/2021;23.8;33.7;28.2;74;6.5;5;2
11/08/2021;24.4;33.1;27.4;78;8.9;6;2
12/08/2021;24.4;32.8;27.3;80;5.7;7;2
13/08/2021;23.3;34.5;28;72;5.2;7;2
14/08/2021;23.9;33.5;26.1;84;8.5;4;2
15/08/2021;24;32.8;27.2;80;3;5;2
16/08/2021;22.8;32.4;26.6;81;5;6;2
17/08/2021;23.4;31;24.7;89;6.1;6;1
18/08/2021;22.5;31.5;25.1;87;5.1;6;2
19/08/2021;22;31;25.5;84;2.4;5;1
20/08/2021;23.1;31.8;25.8;83;5.2;6;1
21/08/2021;22.3;32.2;26.7;80;1.3;4;1
22/08/2021;22.8;30.5;25.2;86;5.7;5;1
23/08/2021;23.3;31;26.1;84;1.4;5;1
24/08/2021;23.3;32;26.4;81;1.5;4;1
25/08/2021;21.8;32.1;25.9;83;1.7;6;2
26/08/2021;23;32.5;27;79;2.8;4;1
27/08/2021;23.2;33.3;27.7;78;6.7;6;2
28/08/2021;24.2;34.4;28.2;74;5.7;5;2
29/08/2021;23.8;33;27.3;77;9.1;7;2
30/08/2021;22.7;32.5;26.8;79;6.8;6;2
31/08/2021;22.8;33.4;25.9;84;5.1;4;2
01/09/2021;22.6;33;25.5;85;3.3;7;1
02/09/2021;23.4;29.6;25.7;83;4.8;3;1
03/09/2021;23;34;27.8;72;1;5;1
04/09/2021;24.2;33.2;26.6;80;9;4;1
05/09/2021;24;33.7;26;82;4.5;4;1
06/09/2021;23;33;27.2;78;5.1;5;1
07/09/2021;24;32.4;27.5;76;6.8;5;1
08/09/2021;23;33.5;25.3;82;3.6;7;1
09/09/2021;22.6;34.4;27.8;74;4.7;4;1
10/09/2021;23.6;30.6;26.3;86;8;5;2
11/09/2021;23.7;33.5;27.2;78;4.7;5;2
12/09/2021;22.8;29.2;25;89;5.6;3;0
13/09/2021;23;30.4;25.6;86;0;4;1
14/09/2021;22.5;29.8;25.5;83;0.4;3;1
15/09/2021;22.6;34.1;28.3;75;0;4;1
16/09/2021;24.4;34.1;28.5;77;7.5;6;2
17/09/2021;23.6;33.2;27.6;75;6.5;8;2
18/09/2021;24;33.8;27.9;78;6.4;8;3
19/09/2021;24.1;32.5;27.3;76;4.3;6;3
20/09/2021;23.4;34;27.7;74;4.9;7;2
21/09/2021;21.3;31.5;25.2;86;6.8;5;2
22/09/2021;22.9;31.8;25.9;81;4;8;2
23/09/2021;22.3;32.6;26.4;82;2.3;7;2
24/09/2021;23;33.6;27.7;78;5.2;4;1
25/09/2021;22.8;34.5;27.4;74;6.4;3;0
26/09/2021;23.5;33.6;26.6;87;5.6;6;1
27/09/2021;23.2;32.6;26.3;86;3.1;6;1
28/09/2021;23;31;26.4;88;4.3;7;1
29/09/2021;23.4;31.2;27.1;81;2.2;7;2
30/09/2021;23.3;29.2;25.7;88;5.1;3;1
01/10/2021;23.3;33;27.5;76;0.1;5;2
02/10/2021;23.2;34.4;26.1;84;;4;1
03/10/2021;23.9;33.6;27.5;78;0.6;3;1
04/10/2021;24.1;35.4;29;66;4.6;5;1
05/10/2021;24.3;32.6;27.3;76;9.1;5;1
06/10/2021;24.1;35.4;28.6;70;2;7;2
07/10/2021;24.3;34;27;77;9.5;7;2
08/10/2021;22.4;35.7;28;75;6.6;5;1
09/10/2021;23.6;33;27.4;78;8.9;7;2
